proper_name,designation,ra_deg_j2000,dec_deg_j2000,hip,vmag
Sol,,0.0,0.0,,-26.7
,Tau Phe,0.269115,-48.809876,88,5.71
,The Oct,0.39924000000000004,-77.065724,122,4.78
,29    Psc,0.45603,-3.027504,145,5.13
,30    Psc,0.49008,-6.014072,154,4.37
,85    Peg,0.5420849999999999,27.082256,171,5.8
,Zet Scl,0.583005,-29.720414,183,5.04
,31    Psc,0.60069,8.956824,186,6.33
,32    Psc,0.6237600000000001,8.485463,194,5.7
,2    Cet,0.9349500000000001,-17.335988,301,4.55
,9    Cas,1.05693,62.287664,330,5.9
,3    Cet,1.1254950000000001,-10.509523,355,4.99
,33    Psc,1.33392,-5.707618,443,4.61
,86    Peg,1.424835,13.396266,476,5.55
,10    Cas,1.61055,64.196168,531,5.57
Alpheratz,21Alp And,2.096865,29.090432,677,2.07
,87    Peg,2.26008,18.211963,729,5.57
Caph,11Bet Cas,2.293305,59.14978,746,2.28
,Kap1Scl,2.3377649999999996,-27.987928,761,5.42
,Eps Phe,2.35254,-45.747426,765,3.88
,34    Psc,2.50917,11.145813,813,5.54
,Gam3Oct,2.509395,-82.224047,814,5.29
,22    And,2.58018,46.072272,841,5.01
,6    Cet,2.8160849999999997,-15.467977,910,4.89
,Kap2Scl,2.8934100000000003,-27.799737,930,5.41
,The Scl,2.93328,-35.133119,950,5.24
Algenib,88Gam Peg,3.30897,15.183596,1067,2.83
,23    And,3.3786,41.03537,1086,5.71
,89Chi Peg,3.6506700000000003,20.206702,1168,4.79
,7    Cet,3.660075,-18.932866,1170,4.44
,35    Psc,3.745155,8.820962,1196,6.02
,36    Psc,4.14183,8.240154,1319,6.12
,24The And,4.272945,38.681636,1366,4.61
,25Sig And,4.581945,36.785224,1473,4.51
Groombridge 34,,4.59261,44.022954,1475,8.09
,26    And,4.67568,43.791141,1501,6.1
Citadelle,,4.821105,14.054755,1547,8.36
,8Iot Cet,4.856985,-8.823921,1562,3.56
,Zet Tuc,5.01213,-64.874791,1599,4.23
,41    Psc,5.149425,8.190271,1645,5.38
,Pi  Tuc,5.162669999999999,-69.624913,1647,5.5
,27Rho And,5.280255,37.968603,1686,5.16
,Iot Scl,5.379975,-28.981469,1708,5.18
,42    Psc,5.606175,13.482488,1772,6.25
